Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;3,9;8,9;0,44;5,90;1,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;4,3;7;0,61;5,50;1,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;4,3;8,7;0,49;6,10;1,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;4,7;7,5;0,63;5,90;1,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;4,9;6,2;0,79;5,50;1,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5;6;0,83;5,50;1,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5;6,4;0,78;5,70;1,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5;8,8;0,57;6,60;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;122 m;packestone;In2;;-251,39;;;;;;;5;9;0,56;6,70;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;5;12;0,42;7,70;2,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,1;6,9;0,74;5,90;1,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,1;7,6;0,67;6,20;1,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,2;7,9;0,66;6,40;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,3;8,2;0,65;6,60;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,3;8,3;0,64;6,60;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,4;8,3;0,65;6,70;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,6;8,3;0,67;6,80;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,7;8,2;0,70;6,80;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;103 m;;In2;;-251,39;;;;;;;5,8;8,4;0,69;7,00;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;104 m;;In2;;-251,39;;;;;1;;6;8;0,75;6,90;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;6;9;0,67;7,30;2,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;6;9;0,67;7,30;2,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;6;9;0,67;7,30;2,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;117 m;siltstone;In2;;-251,39;;;;;;;6;9;0,67;7,30;2,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;118 m;packestone;In2;;-251,39;;;;;;;6;10;0,60;7,70;2,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;6;10;0,60;7,70;2,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;;122 m;packestone;In2;;-251,39;;;;;;;6;11;0,55;8,10;2,10
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;6;13;0,46;8,80;2,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;S-33;84 m;packestone;In2;;-251,39;;;;;;;7;6;1,17;6,50;1,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;7;10;0,70;8,40;2,10
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;8;9;0,89;8,50;2,10
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;8;9;0,89;8,50;2,10
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;8;10;0,80;8,90;2,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;8;11;0,73;9,40;2,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;8;18;0,44;12,00;2,50
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;9;9;1,00;9,00;2,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;9;10;0,90;9,50;2,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;9;11;0,82;9,90;2,30
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;9;15,7;0,57;11,90;2,50
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;packestone;In2;;-251,39;;;;;;;9;16;0,56;12,00;2,50
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;9;19;0,47;13,10;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;13;0,77;11,40;2,40
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;13;0,77;11,40;2,40
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;13;0,77;11,40;2,40
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;13;0,77;11,40;2,40
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;19;0,53;13,80;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;20;0,50;14,10;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;20;0,50;14,10;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;21;0,48;14,50;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;10;21;0,48;14,50;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;16;0,69;13,30;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;16;0,69;13,30;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;16;0,69;13,30;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;17;0,65;13,70;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;17;0,65;13,70;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;17;0,65;13,70;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;17;0,65;13,70;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;20;0,55;14,80;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;22;0,50;15,60;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;22;0,50;15,60;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;11;24;0,46;16,20;2,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;12;14;0,86;13,00;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;12;14;0,86;13,00;2,60
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;12;17;0,71;14,30;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;12;17;0,71;14,30;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;12;18;0,67;14,70;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;12;19;0,63;15,10;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;13;18;0,72;15,30;2,70
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;13;22;0,59;16,90;2,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;13;25;0,52;18,00;2,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;14;19;0,74;16,30;2,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;14;20;0,70;16,70;2,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;14;20;0,70;16,70;2,80
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;14;22;0,64;17,50;2,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;16;21;0,76;18,30;2,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;16;24;0,67;19,60;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;16;24;0,67;19,60;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;16;24;0,67;19,60;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;16;24;0,67;19,60;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;17;24;0,71;20,20;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;17;26;0,65;21,00;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;19;19;1,00;19,00;2,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;19;19;1,00;19,00;2,90
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;19;21;0,90;20,00;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;19;30;0,63;23,90;3,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;20;32;0,63;25,30;3,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;20;32;0,63;25,30;3,20
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;21;20;1,05;20,50;3,00
Foster et al. (2020);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Siusi;scree;80-85 m;;In2;;-251,39;;;;;;;21;26;0,81;23,40;3,20
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;1,44;4;0,36;2,40;0,88
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;1,44;2,8;0,51;2,01;0,70
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;1,44;2,8;0,51;2,01;0,70
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;1,92;4;0,48;2,77;1,02
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;1;;2,4;3,6;0,67;2,94;1,08
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;1;;2,4;6;0,40;3,79;1,33
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;2,4;3,6;0,67;2,94;1,08
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;2,4;4,4;0,55;3,25;1,18
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;2,4;4;0,60;3,10;1,13
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;canalensis;Unionites canalensis;;Costabella;92;53.5 m;packestone;Ol1;;-250,9;;;;;;1;2,88;4,8;0,60;3,72;1,31
